Relaciones Existentes
[['SalesPerson', 'SalesOrderHeader', 'SalesPersonID']
 ['SalesOrderHeaderSalesReason', 'Currency', 'ModifiedDate']
 ['SalesOrderHeaderSalesReason', 'PurchaseOrderHeader', 'ModifiedDate']
 ['SalesOrderHeaderSalesReason', 'CurrencyRate', 'ModifiedDate']
 ['SalesOrderHeaderSalesReason', 'Customer', 'ModifiedDate']
 ['SalesOrderHeaderSalesReason', 'Department', 'ModifiedDate']
 ['SalesOrderHeaderSalesReason', 'Document', 'ModifiedDate']
 ['SalesOrderHeaderSalesReason', 'SalesOrderDetail', 'ModifiedDate']
 ['SalesOrderHeaderSalesReason', 'SalesOrderDetail', 'SalesOrderID']
 ['SalesOrderHeaderSalesReason', 'EmailAddress', 'ModifiedDate']
 ['SalesOrderHeaderSalesReason', 'Employee', 'ModifiedDate']
 ['SalesOrderHeaderSalesReason', 'SalesOrderHeader', 'ModifiedDate']
 ['SalesOrderHeaderSalesReason', 'EmployeeDepartmentHistory', 'ModifiedDate']
 ['SalesPerson', 'Illustration', 'ModifiedDate']
 ['SalesPerson', 'JobCandidate', 'ModifiedDate']
 ['SalesPerson', 'JobCandidate', 'BusinessEntityID']
 ['SalesPerson', 'Location', 'ModifiedDate']
 ['SalesPerson', 'Password', 'ModifiedDate']
 ['SalesPerson', 'Password', 'BusinessEntityID']
 ['SalesPerson', 'Password', 'rowguid']
 ['SalesPerson', 'SalesPersonQuotaHistory', 'ModifiedDate']
 ['SalesPerson', 'SalesPersonQuotaHistory', 'rowguid']
 ['SalesPerson', 'SalesPersonQuotaHistory', 'SalesQuota']
 ['SalesPerson', 'Person', 'ModifiedDate']
 ['SalesPerson', 'Person', 'BusinessEntityID']
 ['SalesPerson', 'Person', 'rowguid']
 ['SalesPerson', 'SalesReason', 'ModifiedDate']
 ['SalesPerson', 'SalesTaxRate', 'ModifiedDate']
 ['SalesPerson', 'SalesTaxRate', 'rowguid']
 ['SalesPerson', 'PersonCreditCard', 'ModifiedDate']
 ['SalesPerson', 'PersonCreditCard', 'BusinessEntityID']
 ['SalesPerson', 'vAdditionalContactInfo', 'ModifiedDate']
 ['SalesPerson', 'vAdditionalContactInfo', 'BusinessEntityID']
 ['SalesPerson', 'vAdditionalContactInfo', 'rowguid']
 ['SalesPerson', 'PersonPhone', 'ModifiedDate']
 ['SalesPerson', 'PersonPhone', 'BusinessEntityID']
 ['SalesPerson', 'vEmployee', 'BusinessEntityID']
 ['SalesPerson', 'SalesTerritory', 'ModifiedDate']
 ['SalesPerson', 'SalesTerritory', 'SalesLastYear']
 ['SalesPerson', 'SalesTerritory', 'rowguid']
 ['SalesPerson', 'SalesTerritory', 'SalesYTD']
 ['SalesPerson', 'vEmployeeDepartment', 'BusinessEntityID']
 ['SalesPerson', 'PhoneNumberType', 'ModifiedDate']
