Relaciones Existentes
[['PrescriptiveRecommendationProperty', 'PrescriptiveAnalysisRecommendationProperty', 'PropertyID']
 ['MonitoredSQLServers', 'CustomCounterStatistics', 'SQLServerID']
 ['MonitoredSQLServers', 'Deadlocks', 'SQLServerID']
 ['MonitoredSQLServers', 'ESXConfigData', 'SQLServerID']
 ['MonitoredSQLServers', 'ESXStatistics', 'SQLServerID']
 ['MonitoredSQLServers', 'LatestGroomingStatus', 'SQLServerID']
 ['MonitoredSQLServers', 'MetricThresholds', 'SQLServerID']
 ['MonitoredSQLServers', 'MonitoredServerSQLsafeInstance', 'SQLServerID']
 ['MonitoredSQLServers', 'OSStatistics', 'SQLServerID']
 ['MonitoredSQLServers', 'PermissionServers', 'SQLServerID']
 ['MonitoredSQLServers', 'PredictiveForecasts', 'SQLServerID']
 ['MonitoredSQLServers', 'PredictiveModels', 'SQLServerID']
 ['MonitoredSQLServers', 'QueryMonitorStatistics', 'SQLServerID']
 ['MonitoredSQLServers', 'QuerySignatureAggregation', 'SQLServerID']
 ['MonitoredSQLServers', 'ServerActivity', 'SQLServerID']
 ['MonitoredSQLServers', 'ServerStatistics', 'SQLServerID']
 ['MonitoredSQLServers', 'ServerTags', 'SQLServerId']
 ['MonitoredSQLServers', 'SQLServerDatabaseNames', 'SQLServerID']
 ['MonitoredSQLServers', 'VMConfigData', 'SQLServerID']
 ['MonitoredSQLServers', 'VMStatistics', 'SQLServerID']
 ['MonitoredSQLServers', 'WaitStatistics', 'SQLServerID']
 ['MonitoredSQLServers', 'WidgetSourceMapping', 'SourceServerID']
 ['SQLServerDatabaseNames', 'ActiveWaitStatistics', 'DatabaseID']
 ['SQLServerDatabaseNames', 'AnalysisConfigBlockedDatabases', 'DatabaseID']
 ['SQLServerDatabaseNames', 'BlockingSessionStatistics', 'DatabaseID']
 ['SQLServerDatabaseNames', 'DatabaseFiles', 'DatabaseID']
 ['SQLServerDatabaseNames', 'DatabaseSize', 'DatabaseID']
 ['SQLServerDatabaseNames', 'DatabaseSizeDateTime', 'DatabaseID']
 ['SQLServerDatabaseNames', 'DatabaseStatistics', 'DatabaseID']
 ['SQLServerDatabaseNames', 'DeadlockProcesses', 'DatabaseID']
 ['SQLServerDatabaseNames', 'MirroringParticipants', 'DatabaseID']
 ['SQLServerDatabaseNames', 'MirroringStatistics', 'DatabaseID']
 ['SQLServerDatabaseNames', 'QueryMonitorStatistics', 'DatabaseID']
 ['SQLServerDatabaseNames', 'QuerySignatureAggregation', 'DatabaseID']
 ['SQLServerDatabaseNames', 'SQLServerTableNames', 'DatabaseID']
 ['CustomReports', 'CustomReportsCounters', 'ID']
 ['DatabaseFiles', 'DatabaseFileActivity', 'FileID']
 ['DatabaseFiles', 'DatabaseFileStatistics', 'FileID']
 ['DatabaseFiles', 'TempdbFileData', 'FileID']
 ['WaitCategories', 'WaitTypes', 'CategoryID']
 ['SQLsafeConnections', 'MonitoredServerSQLsafeInstance', 'RepositoryId']
 ['WaitTypes', 'ActiveWaitStatistics', 'WaitTypeID']
 ['WaitTypes', 'WaitStatisticsDetails', 'WaitTypeID']
 ['WaitStatistics', 'WaitStatisticsDetails', 'WaitStatisticsID']
 ['SQLServerTableNames', 'TableGrowth', 'TableID']
 ['SQLServerTableNames', 'TableReorganization', 'TableID']
 ['SQLStatements', 'ActiveWaitStatistics', 'SQLStatementID']
 ['SQLStatements', 'BlockingSessionStatistics', 'SQLStatementID']
 ['SQLStatements', 'DeadlockProcesses', 'SQLStatementID']
 ['SQLStatements', 'QueryMonitorStatistics', 'SQLStatementID']
 ['SQLStatements', 'SQLQueryPlans', 'SQLStatementID']
 ['SQLStatements', 'SQLSignatures', 'SQLStatementExampleID']
