Relaciones Existentes
[]

Relaciones Posibles/Faltantes
[['vw_CoreUsers', 'UsersProductWidgetConfig', 'UserId']
 ['vw_InstancesByUser', 'Databases', 'UTCFirstSeen']
 ['vw_InstancesByUser', 'Databases', 'Owner']
 ['vw_InstancesByUser', 'ProductWidgetConfig', 'Version']
 ['vw_InstancesByUser', 'Instance-RegisteredProduct', 'Status']
 ['vw_InstancesByUser', 'RegisteredProducts', 'Version']
 ['vw_InstancesByUser', 'RegisteredProducts', 'Location']
 ['vw_InstancesByUser', 'RegisteredProducts', 'Status']
 ['vw_InstancesByUser', 'RegisteredProducts', 'InstanceName']
 ['vw_AlertsByUser', 'vw_RegisteredProductsByUser', 'AccountId']
 ['vw_AlertsByUser', 'ProductConfig', 'Value']
 ['vw_AlertsByUser', 'Alerts_Metadata', 'KB']
 ['vw_AlertsByUser', 'Alerts_Metadata', 'Message']
 ['vw_AlertsByUser', 'Alerts_Metadata', 'Metric']
 ['vw_AlertsByUser', 'Alerts_Metadata', 'PluralPreview']
 ['vw_AlertsByUser', 'Alerts_Metadata', 'Preview']
 ['vw_AlertsByUser', 'Alerts_Metadata', 'PluralMessage']
 ['vw_AlertsByUser', 'Alerts_Metadata', 'ProductId']
 ['vw_AlertsByUser', 'Alerts_Metadata', 'LinkToDetails']
 ['vw_AlertsByUser', 'Alerts_Metadata', 'LinkToDashboard']
 ['vw_AlertsByUser', 'Alerts', 'AlertCategory']
 ['vw_AlertsByUser', 'Alerts', 'KB']
 ['vw_AlertsByUser', 'Alerts', 'Value']
 ['vw_AlertsByUser', 'Alerts', 'LastActiveTime']
 ['vw_AlertsByUser', 'Alerts', 'Database']
 ['vw_AlertsByUser', 'Alerts', 'StartTime']
 ['vw_AlertsByUser', 'Alerts', 'Summary']
 ['vw_AlertsByUser', 'Alerts', 'Message']
 ['vw_AlertsByUser', 'Alerts', 'Table']
 ['vw_AlertsByUser', 'Alerts', 'Metric']
 ['vw_AlertsByUser', 'Alerts', 'PluralPreview']
 ['vw_AlertsByUser', 'Alerts', 'Preview']
 ['vw_AlertsByUser', 'Alerts', 'Severity']
 ['vw_AlertsByUser', 'Alerts', 'PluralMessage']
 ['vw_AlertsByUser', 'Alerts', 'ProductId']
 ['vw_AlertsByUser', 'Alerts', 'LinkToDetails']
 ['vw_AlertsByUser', 'Alerts', 'LinkToDashboard']
 ['vw_AlertsByUser', 'Alerts', 'Instance']
 ['vw_RegisteredProductsByUser', 'Users', 'ID']
 ['vw_RegisteredProductsByUser', 'Instances', 'Version']
